race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,extraversion,neuroticism,agreeableness,conscientiousness,openness
3,53,English (native),Male,Right,Test site,US,4,4,5,4,5,5,4,3,5,5,1,1,2,1,1,1,1,1,1,1,5,5,5,5,4,3,5,5,4,5,4,5,5,5,5,5,4,5,4,5,4,5,3,5,5,5,4,2,5,5,4.4,1.1,4.6,4.7,4.3
13,46,English (native),Female,Right,Test site,US,2,4,3,3,3,3,1,1,1,1,2,3,4,4,3,4,3,2,2,4,5,3,3,4,2,4,4,3,4,3,4,5,3,4,3,5,5,5,4,4,3,3,3,3,2,3,3,1,3,2,2.2,3.1,3.5,4.2,2.6
1,14,Not English (native),Female,Right,Test site,PK,5,5,1,2,5,5,1,1,5,5,5,5,5,1,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,3.5,4.6,3.8,4.9,4.5
3,19,Not English (native),Female,Right,Test site,RO,2,1,2,2,3,2,3,2,4,1,5,2,4,4,4,5,5,5,4,5,4,5,2,4,3,5,3,4,4,3,3,3,4,1,1,2,5,2,2,3,4,3,5,4,4,4,5,2,5,5,2.2,4.3,3.7,2.6,4.1
11,25,Not English (native),Female,Right,Google,US,3,5,3,3,3,5,3,5,3,1,3,3,3,2,3,3,3,3,3,4,1,5,3,5,5,5,5,5,5,5,3,5,5,3,3,5,1,3,3,3,3,5,1,5,3,5,3,1,5,3,3.4,3,4.4,3.4,3.4
13,31,English (native),Female,Right,Google,US,1,1,2,2,1,3,2,2,1,1,1,1,4,1,1,4,4,1,5,2,4,2,3,4,3,4,3,5,5,3,2,1,4,3,3,2,5,3,5,3,4,4,1,3,3,1,5,4,5,3,1.6,2.4,3.6,3.1,3.3
5,20,English (native),Female,Right,NA,US,5,5,5,5,5,5,5,2,4,5,2,2,2,2,2,2,3,2,2,2,1,5,5,5,5,5,5,5,4,5,2,2,3,3,3,3,3,3,3,3,3,5,5,5,4,5,4,3,3,4,4.6,2.1,4.5,2.8,4.1
4,23,Not English (native),Male,Right,Google,IN,4,3,5,3,5,5,4,3,4,3,1,2,4,2,1,1,1,1,1,1,4,5,5,4,3,3,5,3,4,5,4,4,5,5,4,5,4,5,3,5,3,5,5,5,4,5,5,3,2,5,3.9,1.5,4.1,4.4,4.2
5,39,English (native),Female,Both,.edu,US,3,5,5,5,5,5,5,4,5,3,2,2,5,3,3,5,5,4,3,3,5,5,5,5,5,5,5,5,5,4,4,3,5,4,5,4,5,4,4,3,3,3,5,3,5,5,5,3,4,5,4.5,3.5,4.9,4.1,4.1
3,18,English (native),Female,Right,NA,US,1,2,2,1,2,2,1,2,1,1,5,4,5,4,3,4,3,2,3,4,4,3,5,4,4,4,3,3,3,2,5,4,4,4,3,4,4,4,4,4,4,4,5,4,4,5,4,3,4,4,1.5,3.7,3.5,4,4.1
